gene_name,C_3_1,C_3_2,C_5_1,C_5_2,F_3_1,F_3_2,F_5_1,F_5_2
AC114498.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTND1P23,9.44799,2.48362,10.0646,0.881779,3.38728,6.06635,7.3666,5.38973
MTND2P28,67.2758,48.1194,79.5905,85.8046,44.4779,76.9393,82.0979,95.8561
MTCO1P12,0.490524,0.385428,0.606589,0.825958,0.546978,0.61962,0.540993,0.63595
AC114498.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTCO2P12,1.16835,0.281853,0.275478,0.212389,0.953836,0.328707,1.13625,0.505742
MTATP8P1,2.76354,0.876791,0.0,3.03986,2.26825,0.791344,3.47379,2.36542
MTATP6P1,360.862,351.574,271.459,285.116,476.497,430.397,444.448,521.506
MTCO3P12,1.60011,0.607136,0.335045,2.09403,2.38165,2.18932,2.81325,2.25486
WBP1LP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR4F16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CICP3,1.09651e-07,0.0,0.0,0.0,0.0,0.129904,0.0,0.0
AL669831.1,0.973426,0.801547,0.705879,0.698901,0.757483,0.991985,1.14394,0.757215
RNU6-1199P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL669831.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL669831.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL669831.7,2.82039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL669831.4,1.137413,1.458092,0.401899,0.654898,0.409107,0.205872,0.668759,0.756799
FAM87B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM41C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUBB8P11,0.0,0.0,0.10273,0.103445,0.0,0.0,0.0,0.0
AL669831.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL645608.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL645608.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL645608.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAMD11,0.285967,0.4355487,0.0,0.0616511,1.027498418697,1.75850874,0.0,0.193949
NOC2L,69.19624400000001,80.857749,57.652657000000005,58.98043,76.026484,67.75804600000001,64.252411,65.066309
KLHL17,0.564204,1.4414129999999998,0.39184,1.3596813,0.391286,1.117917,0.684692,1.205902
PLEKHN1,0.42590003,0.411486,0.0462309,0.0928126,0.252357,0.166115,0.0846483,0.2712746
PERM1,0.0,0.0,0.0,0.0,0.0505226,0.0,0.161336,0.0267427
AL645608.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HES4,0.574632,0.438217,1.839992,2.428063,1.081784,1.2700010000000002,1.68978,3.51699
ISG15,28.13789,28.3327,37.82668,51.796567,33.328609,28.03697,44.28637,35.66227
AL645608.3,0.0,0.0,1.61386,0.0,0.0,0.0,0.0,0.0
AL645608.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGRN,1.9079931,2.462621,2.038618,2.5775810000000003,2.709084,2.788336,3.398995,3.5206539
AL645608.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL390719.1,3.328697,3.1577692,3.434886,2.930313,1.897454,2.30142,1.4914695,1.05909
AL645608.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNF223,0.0522377,0.0957357,0.0540288,0.0544408,0.0,0.0855521,0.154571,0.0
C1orf159,7.7799849,6.899730000000001,3.976825,5.075752,7.4692690000000015,7.119852,4.4558550828781,5.442653399999999
AL390719.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR200B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR200A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL390719.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTLL10-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTLL10,0.0,0.257913,0.232328,0.2306,0.316315,0.0,0.260403,0.0782439
TNFRSF18,1.347789768,0.877444,2.098598,2.10561,4.765075,3.71958,3.302216,4.22229
TNFRSF4,0.0936394,0.0,0.2007977,0.0,0.541094,0.0,0.0,0.28712
SDF4,58.442059,145.42158,60.5693806,73.87473390000001,119.390513,27.502615895225,25.5623856,61.4314818
B3GALT6,2.0914040000000003,2.15015793,1.49983846,1.6120035,1.8101935,1.55361529,1.43850777,1.48088507
C1QTNF12,0.0976472,0.7290449999999999,0.523367,0.105444,1.167725,0.681635,0.5070790000000001,0.976692
AL162741.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBE2J2,44.33194,50.38736841200001,46.828307,47.188738955189,53.821407696200005,46.55073324,50.497401,50.64148400341264
LINC01786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCNN1D,0.375543,0.265447,0.2678297,0.575654,0.1409226,0.177856,0.8553755000000001,0.418062
ACAP3,3.6178495,3.6834865,1.685613,1.80719,4.350344,2.1627248,0.7336141,4.432648
MIR6726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUSL1,19.199943,19.605842900000003,19.8278959,22.018276,16.8584959,18.0157,19.948519,21.348563
INTS11,55.29380375400001,66.41370440000001,55.624288970000016,56.43931467100001,57.414284707898,56.49793331650517,56.43063819999999,57.24841673600001
MIR6727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL139287.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPTP,2.205288,2.21377,2.272988,1.89286,2.858582,1.26891,1.6831,2.22435
TAS1R3,0.0265586,0.0,0.0571586,0.0859711,0.0658356,0.0225946,0.104663,0.0464617
DVL1,2.490937,4.535902,1.830165,2.434971,2.537814,1.802018,1.8532722,1.525079
MIR6808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MXRA8,180.10486999999998,233.230137,152.37785300000002,159.94447194699998,192.22127200000003,86.444933,72.53395900000001,145.54797200000002
AURKAIP1,122.34596,145.35356,116.37505,117.078595,139.17678,125.977993,123.809398,130.278261
NDUFB4P8,0.0,0.0,0.0,0.0,0.298083,0.0,0.0,0.0
CCNL2,53.522128015181806,88.20509400000002,60.366908,62.31513399999999,91.288106,39.082458,40.1529120279644,70.156569
MRPL20-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPL20,223.038942,226.00249,225.873011,218.089313,200.365756,188.814066,198.49534,203.102008
RN7SL657P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL391244.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANKRD65,2.301113,2.78648,4.921817000000001,4.180178,1.65328717,1.359592,3.877459,2.88969
AL391244.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM88B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWA1,1.2247751,0.502967,1.003218,0.902222,0.393147,0.5012143,0.7875209999999999,1.7192974
ATAD3C,0.405215,0.518442,0.8647457000000001,0.235146,0.4284667,0.2182532,0.2312959,0.400604
ATAD3B,5.498804,7.372703,5.457385,5.059515,5.278854000000001,3.270477,4.587431,4.929653
AL645728.2,1.734294,3.24115,5.341810000000001,5.51773,2.1284650000000003,2.433338,2.084619,1.6112859999999998
ATAD3A,12.041868999999998,11.944741,11.007747,11.426624,12.1027849,7.590719999999999,7.312427,10.116373
TMEM240,0.0,0.126388,0.141819,0.0,0.0,0.0,0.0,0.0
SSU72,70.288027,64.749473,90.05218,75.31835000000001,67.406393,67.713424,69.81385,88.511846
AL645728.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL691432.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FNDC10,0.267036,0.127189,0.287074,0.0960639,0.036763,0.22729,0.131407,0.0778526
AL691432.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIB2,2.22264130885,3.271772958422,1.883522509,3.1991031000000003,3.211768531143,3.1453444,2.888275,4.38308956091
MMP23B,0.0,0.209487,0.0,0.370463,0.20303,0.352517,0.2399504,0.0
CDK11B,22.196484,19.035411,20.28655200851822,18.087355,19.632077,19.715231000000003,22.70064,18.733741062732
FO704657.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC35E2B,7.596502999999999,7.703432,7.212212,7.561167,5.683396,5.655152,6.845132,5.898674
AL691432.1,0.277603,0.752907,0.324933,0.453044,0.971556,0.296246,0.762827,1.011463
MMP23A,0.0,0.0,0.320671,0.0,0.246881,0.0,0.0,0.0
CDK11A,11.992068000000002,13.0398834684,13.69549900173276,13.8804930761374,12.972581,9.88657774526,11.897929149911,10.655932
AL031282.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL031282.1,2.67959,2.7734300000000003,2.9748,2.565434,3.125874,2.949083,4.355764,3.192108
SLC35E2A,4.8102,5.070272639000001,8.504682031714701,7.068859303687001,8.8134730561334,8.6311623,9.12039396,9.326316219879
NADK,3.68092,4.1018866,6.119150321694001,6.5868921,4.952341199999999,7.22729,4.43207235,6.7328228
GNB1,27.104125000000003,25.0671038,20.779967027725,20.144735999999995,20.2356314,18.716962345714,15.819063,16.896260005969882
AL109917.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALML6,0.0,0.0,0.0,0.0,0.1344813,0.0,0.0,0.0
TMEM52,0.157405,0.104681,0.235289,0.355814,0.221816,0.0,0.628948,0.550219
CFAP74,0.8684527999999999,1.0279127,0.5413656,0.4322896,0.3578945,0.3234304,0.327507,0.9517416
AL391845.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GABRD,0.180258,0.423774,0.239893,0.264367286758,0.0938186,0.447725,0.152384,0.199091
AL391845.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRKCZ,0.476655,0.357203,0.5200913,0.16523,1.1951293,0.762311,0.678958494,0.606408
AL590822.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRKCZ-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAAP20,37.51214530478549,51.97570318346,37.237806,44.097620000000006,52.3359892,28.3833210431885,25.709573,40.097918
AL590822.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKI,0.657072,1.03817,1.068421,0.515564,0.962682,0.673132,0.677232,0.8781899
MORN1,4.2004736,3.7862315,4.444775000000001,3.9310993,4.5000622,5.901528,4.2114005,4.726406
AL589739.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL513477.1,0.311961,0.1857,1.761582,0.25244,0.483152,0.7202951,0.7926850000000001,0.272896
AL513477.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RER1,193.6147784,206.775433,168.1185504,161.364932,171.71740000000003,176.74248,172.19518000000002,170.466655
PEX10,29.03536615435,33.615541,29.1377,31.08111,33.838214,20.147900010357,22.710153132751003,30.210916
PLCH2,0.0200741,0.0382434,0.427954,0.00901342,0.09946517869812,0.0686548,0.0479577,0.057294455371
AL139246.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL139246.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PANK4,1.01451745561,3.15191327,4.042084,7.615858464919999,4.2465834,1.208073993914,0.92229648175,3.99793008196
HES5,0.0,0.0,0.0,2.33159e-09,0.0,0.0632037,1.27676e-09,0.0
AL139246.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF14-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF14,0.7868132000000001,1.0124398,1.2427025959379998,0.6659569,1.5163894999999998,0.7694938,1.3986315161696,1.01678990997788
AL139246.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL139246.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRXL2B,8.223873,7.947255,5.754739,5.25218,7.0647975,6.205852,6.65367955898,6.736915
MMEL1,0.0,0.0449711,0.0,1.72835,0.0415516,0.6048568000000001,0.1336852,0.0173067
AL831784.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTC34,0.0,0.0,0.0,0.0,0.0,0.014899,0.0,0.0153314
AC242022.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC242022.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL592464.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL592464.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL589702.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTRT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRDM16,0.6994086150000001,0.2732861,0.628527917,0.2748625,0.518277100255185,0.670626552,0.190272623167,1.2383497
MIR4251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL008733.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL512383.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL590438.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARHGEF16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL512413.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEGF6,0.4918938,0.892738,0.477788,0.4685527,0.634959,0.826171,0.347663,1.0758063
MIR551A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL513320.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TPRG1L,4.60536,4.011400832237,3.639248,3.85983,3.4006,3.99113,4.902996,4.24557
WRAP73,20.47340600553147,18.740762,19.110741,20.949023,18.78087,18.240778,19.767817,20.337840900000007
TP73,0.3871550076048,0.2949730020907199,0.213507,0.164058643723,0.4413889,0.363606000769738,0.70738120240941,0.489072
AL136528.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL136528.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP73-AS1,4.7320289454912,7.190607836996802,3.92624200543166,5.418871016616201,8.527907626038571,2.5465813039398,2.597870922073254,4.265539054956363
RF02197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCDC27,0.108706,0.160097,0.0861461,0.138234,0.109263,0.100539,0.0771266,0.0
SMIM1,0.21062,0.0,0.0,0.59881,0.0,0.0,0.0,0.0
LRRC47,8.38808,15.155,13.0101,10.1407,14.2352,9.75568,9.00847,13.4145
RN7SL574P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL365330.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEP104,5.741275,8.671832,6.458455999999999,5.890308999999999,6.7858220000000005,6.513951,7.1741157,4.9672798
DFFB,2.9933460000000003,1.780782,2.54496453,1.98858945,1.83894454,1.6665017989,1.746163,1.5638126
C1orf174,26.504907,27.560917,19.898859,20.237993,26.723055,23.822988,22.993368,23.1252552
LINC01134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL805961.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL805961.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEF1DP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL355602.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z98747.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJAP1,0.0,0.0,0.0,0.0,0.0,0.00655547,0.0,0.0
BX005132.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX005132.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL691497.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL139823.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z98259.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z98259.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z98259.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z97988.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL365255.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z97988.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NPHP4,2.31933496906,2.650142,1.8947773,2.0141743,2.240708,2.317802,2.07393271,2.0594998
KCNAB2,2.179007571,2.624754669403,3.2764393000000003,3.988476,2.198570010991,2.615297,2.6856230000000005,1.7151740000000002
CHD5,0.0735161,0.0707769,0.0672711,0.0449526,0.02502858,0.03432726,0.0,0.0182221
AL031847.2,0.0,0.528304,0.0,0.0,0.245591,0.251772,0.0,0.264107
RPL22,255.820314,210.913381,243.560972,212.3835378,269.573488,280.647339,229.534342,234.356531
AL031847.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNF207,0.4852346,1.4532500000000002,1.985386,2.416977,0.5560541999999999,0.491564,1.0624055,0.9574515
ICMT,67.9129,62.638995,65.77755,69.67165,76.73974,73.4444,71.05071,76.08006
LINC00337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HES3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPR153,10.3324,13.7516,15.142,14.825,8.88132,9.84828,10.1177,9.74496
ACOT7,139.31073599999996,168.501752,117.818463,121.838818,134.57412099999996,134.82697600000003,98.628792,113.709657
AL031848.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HES2,3.7641164,4.994333,6.658801,7.029318999999999,4.2432,4.3044400000000005,9.441448,7.987436000000001
ESPN,0.649886157,0.370060022,0.398768026,0.140296,0.2956796,0.377308,0.187303,0.171225
MIR4252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL031848.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF25,35.360826,35.710925,29.148664000000004,24.638431,8.183183999999999,11.488282000000002,12.578973,10.566277
PLEKHG5,26.2190388,26.290732,22.419704,28.051670405,16.01140522,14.691379,13.4965949,15.143834
NOL9,5.40442,6.488075,5.628204,5.765674,5.101379,5.237616000000001,4.903919,5.850914
RNU6-731P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL591866.1,0.0,0.0,0.0,0.347739,0.0,0.0,0.31025,0.0
TAS1R1,23.2918,20.43719,35.75186,37.79740114666,8.48099,8.408066,17.886870000000002,19.260016
ZBTB48,8.1937245,8.870968999999999,9.334191,12.8261854,6.395005599999999,7.133690999999999,9.371466575,7.5110341
KLHL21,45.29984,37.160764,54.78216,56.82789,35.67084233720305,41.54518,48.816479,50.291301
PHF13,4.08452,5.65403,4.42288,4.27032,5.5972,4.70498,4.89923,5.25928
THAP3,15.450658,18.958806,16.709657,16.848086000000002,18.557129,18.548166,20.522732,18.78557
DNAJC11,34.40117401,36.096765000000005,32.85014,38.475687,35.869721,36.122809,38.9887239,37.722589
LINC01672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL591163.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMTA1-DT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMTA1,84.8419664,115.758648,84.48994314999999,91.2728973,119.3118515,84.342928,80.00201299999999,93.408275
AL590128.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL512330.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNU1-8P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMTA1-IT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z97987.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL365194.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL359881.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL359881.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL359881.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAMP3,107.529829,89.321606,94.13972,85.856671,93.831288,99.15351,93.55749,89.65069999999999
Z98884.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PER3,3.906339609531,3.08163962004,1.921965664,3.0717135039999994,3.289973096,2.361378546,2.6387692680000003,1.9338757611
Z98884.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UTS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF9,0.276422,0.358899,0.20660009,0.4189072,0.801749,0.8273140999999999,0.713283,0.322214
AL009183.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARK7,728.025822,783.731461,781.22266,704.953004,723.99337,706.5026320000001,734.579228,709.822556
RF00019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL034417.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL034417.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERRFI1,124.440387,155.80206,72.161101,83.70119999999999,149.74786,107.57788,93.39222,112.42944
AL034417.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL034417.1,0.0,0.0,0.0,0.0,0.218432,0.112924,0.0,0.0
AL358876.1,0.0936394,0.0,0.0,0.0,0.0,0.0,0.0,0.0818813
LINC01714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNU1-7P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL358876.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNU6-991P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC45A1,1.016338,1.309344,1.169106,1.349897,1.033357,0.653774631,1.077547,1.630992
RF00019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RERE,5.818155,3.9663792,7.0776685,7.6186033,5.6702101,7.7715203,8.277958,11.43517026224
RERE-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF00599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL096855.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL7P11,0.0,0.0,0.0,0.262699,0.0,0.143163,0.164116,0.146483
RPL7P7,0.3093,0.0,0.33083,0.324477,0.0,0.131883,0.0,0.0
RF00019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL357552.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL357552.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL23AP19,0.0,0.0,0.381882,0.0,0.295858,0.0,0.0,0.0
ENO1,856.1488730300453,826.38722,501.581219,456.644147,749.6121336999998,738.243934,514.1994281,531.716778
MIR6728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENO1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNU6-304P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMGN2P17,0.732327,0.894414,0.93899,0.946165,1.01403,0.746208,1.28333,0.509751
AL139415.1,0.0,0.414179,0.0,0.0,0.0,0.0,0.0,0.0
AL139415.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA6,0.148207,0.402984,0.211807,0.215855,0.202431,0.344909,0.263484,0.0
RN7SL451P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC2A7,0.0,0.0,0.0675702,0.0,0.0,0.0,0.0618559,0.0
SLC2A5,50.451329,40.482813,121.437466,121.9538698,56.32453400000001,68.302503,130.49943,114.430659
RF00424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPR157,1.0653598,1.782232,1.416257,2.23946,1.534056,1.30068,1.34144,1.940282
MIR34AHG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR34A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LNCTAM34A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H6PD,2.698681,2.9097880000000003,2.503617,2.212622,1.961337,2.385223,2.090078,1.37062000868645
